SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_hour, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date <= '01-FEB-05'
  5  AND (event='content.read' OR event='content.new' OR event='content.revise' or event='content.delete')
  6  AND ref NOT LIKE '/content/public/%'
  7  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  8  ORDER BY event_hour, event_name;

EVENT_HOUR          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-07 06:00:00 content.delete                             1                
2005-01-07 06:00:00 content.new                               28                
2005-01-07 06:00:00 content.read                             317                
2005-01-07 06:00:00 content.revise                             7                
2005-01-07 07:00:00 content.delete                             1                
2005-01-07 07:00:00 content.new                               14                
2005-01-07 07:00:00 content.read                             221                
2005-01-07 07:00:00 content.revise                             2                
2005-01-07 08:00:00 content.new                                6                
2005-01-07 08:00:00 content.read                             177                
2005-01-07 09:00:00 content.delete                             1                
2005-01-07 09:00:00 content.new                               10                
2005-01-07 09:00:00 content.read                              72                
2005-01-07 09:00:00 content.revise                             2                
2005-01-07 10:00:00 content.new                                2                
2005-01-07 10:00:00 content.read                              29                
2005-01-07 11:00:00 content.delete                             1                
2005-01-07 11:00:00 content.new                                7                
2005-01-07 11:00:00 content.read                              70                
2005-01-07 11:00:00 content.revise                             2                
2005-01-07 12:00:00 content.delete                             6                
2005-01-07 12:00:00 content.new                                8                
2005-01-07 12:00:00 content.read                             171                
2005-01-07 13:00:00 content.delete                             4                
2005-01-07 13:00:00 content.new                               78                
2005-01-07 13:00:00 content.read                             631                
2005-01-07 13:00:00 content.revise                             2                
2005-01-07 14:00:00 content.delete                            26                
2005-01-07 14:00:00 content.new                              234                
